COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
BIOL 309,1,Mathematical Models in Biology,12/13/2019,9:00,GYM,Fieldhouse,17-18,AAA,ZZZ
BIOL 314,1,Molecular Biology of Oncogenes,12/9/2019,9:00,GYM,main gym,12-14,AAA,ZZZ
BIOL 316,1,Biomembranes and Organelles,12/18/2019,14:00,STBIO,S3/4,,AAA,ZZZ
BIOL 324,1,Ecological Genetics,12/13/2019,14:00,STBIO,S3/4,,AAA,ZZZ
BIOL 350,1,Insect Biology and Control,12/13/2019,9:00,STBIO,S3/4,,AAA,ZZZ
BIOL 370,1,Human Genetics Applied,12/9/2019,14:00,GYM,Fieldhouse,38,AAA,ZZZ
BIOL 373,1,Biometry,12/5/2019,18:30,GYM,main gym,37-38,AAA,ZZZ
BIOL 395,1,Quantitative Biology Seminar,12/18/2019,9:00,STBIO,S1/4,,AAA,ZZZ
BIOL 414,1,Invert Brain Circuits & Behav,12/20/2019,9:00,STBIO,S3/4,,AAA,ZZZ
BIOL 432,1,Limnology,12/11/2019,9:00,GYM,Fieldhouse,38,AAA,ZZZ
BIOL 465,1,Conservation Biology,12/5/2019,9:00,GYM,Fieldhouse,39-41,AAA,ZZZ
BMDE 503,1,Biomedical Instrumentation,12/19/2019,9:00,DUFF,321,,AAA,ZZZ
BMDE 519,1,Biomedical Signals & Systems,12/20/2019,18:30,TAKE,HOME,,AAA,ZZZ
BREE 210,1,Mechanical Analysis & Design,12/19/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
BREE 216,1,Bioresource Eng. Materials,12/16/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
